question,answer
"steps apply","Register online on the official TNEA website.Fill your details (name, marks, community, etc.).Upload documents (mark sheet, community certificate, etc.).Pay the application fee online.Verify your documents (online or at TNEA centers).Check your rank list published by TNEA.Choose your preferred colleges/courses during counselling.Get seat allotment based on your rank and choices.Confirm the seat and download the allotment letter.Join the allotted college on the given date."
"tnea means","process of getting engineering college seats in Tamil Nadu based on 12th marks, do u want to know its steps?"
"help made mistake","contact TFC center, do u want to know how to contact?"
"how to contact?","enter your district name"
"TFC center means","A TFC Centre is a help center set up by Anna University in each district to assist students during TNEA engineering counselling, do u want to know how to contact?"
"University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025","tier:1, district:Chennai, college_type:SF"
"University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044","tier:1, district:Chennai, college_type:SF"
"Sri Sivasubramaniya Nadar College of Engineering (Autonomous), Rajiv Gandhi Salai (OMR), Kalavakkam,Kanchipuram District-603110.","tier:1, district:Kanchipuram, college_type:AUTONOMOUS"
"PSG College of Technology (Autonomous) Peelamedu Coimbatore District 641004","tier:1, district:Coimbatore, college_type:AUTONOMOUS"
"Coimbatore Institute of Technology (Autonomous) Civil Aerodrome Post Coimbatore District 641014","tier:1, district:Coimbatore, college_type:AUTONOMOUS"
"Thiagarajar College of Engineering (Autonomous) Tirupparankundram Madurai District 625015","tier:1, district:Madurai, college_type:AUTONOMOUS"
"PSG Institute of Technology and Applied Research, Avinashi Road,Neelambur, Sulur,Coimbatore -641062.","tier:2, district:Coimbatore, college_type:SF"
"Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013","tier:1, district:Coimbatore, college_type:AUTONOMOUS"
"Chennai Institute of Technology (Autonomous) Puduper Village Nandambakkam Post Kundrathur Chennai 600069","tier:2, district:Chennai, college_type:AUTONOMOUS"
"Kumaraguru College of Technology (Autonomous), Chinnavedampatti, Coimbatore-641049.","tier:1, district:Coimbatore, college_type:AUTONOMOUS"
"Central Electrochemical Research Institute CECRI Karaikudi Sivagangai District 630006","tier:4, district:Sivagangai, college_type:SF"
"Prince Shri Venkateshwaraa Padmavathy Engineering College (Autonomous), Medavakkam - Mambakkam Road, Ponmar, Kanchipuram, Chennai-600127.","tier:2, district:Chennai, college_type:AUTONOMOUS"
"Government College of Engineering (Autonomous) Karuppur Salem District 636011","tier:2, district:Salem, college_type:AUTONOMOUS"
"University Departments of Anna University Chennai - ACT Campus Sardar Patel Road Guindy Chennai 600 025","tier:1, district:Chennai, college_type:SF"
"Government College of Engineering Tirunelveli District 627007","tier:3, district:Tirunelveli, college_type:GOVT"
"Sri Krishna College of Engineering and Technology (Autonomous), Sugunapuram, Kuniamuthur Post, Coimbatore-641008.","tier:2, district:Coimbatore, college_type:AUTONOMOUS"
"Prince Dr. K. Vasudevan College of Engineering and Technology, Medavakkam-Mambakkam Road, Ponmar, Chennai-600127.","tier:2, district:Chennai, college_type:SF"
"Rajalakshmi Engineering College (Autonomous), Rajalakshmi Nagar, Thandalam, Kanchipuram, Chennai-602105.","tier:2, district:Chennai, college_type:AUTONOMOUS"
"Alagappa Chettair Government College of Engineering and Technology (Autonomous) Karaikudi Sivagangai District 630004","tier:4, district:Sivagangai, college_type:AUTONOMOUS"
"Sri Eshwar College of Engineering (Autonomous), Kondampatti Post, Vadasithur Via, Coimbatore-641202.","tier:2, district:Coimbatore, college_type:AUTONOMOUS"
"Sri Venkateswara College of Engineering (Autonomous), Post Bag No.3, Pennalur, Sriperumbudur, Kanchipuram-602105.","tier:1, district:Kanchipuram, college_type:AUTONOMOUS"
"Karpagam College of Engineering (Autonomous), S.F.No.758,759,760 Othakkal Mandapam, Coimbatore -641032.","tier:2, district:Coimbatore, college_type:AUTONOMOUS"
"KPR Institute of Engineering and Technology (Autonomous), SF:204/2 & 204/4, Kollupalayam Village, Arasur Panchayat, Coimbatore-641407.","tier:2, district:Coimbatore, college_type:AUTONOMOUS"
"Anna University Regional Campus - Coimbatore Maruthamalai Main Road Navavoor Bharathiyar University Post Somayampalayam Coimbatore District 641046","tier:2, district:Coimbatore, college_type:SF"
"Loyola-ICAM College of Engineering and Technology, Loyola College Campus, Chennai-600034.","tier:2, district:Chennai, college_type:SF"
"Government College of Engineering (Formerly Institute of Road and Transport Technology) Vasavi College Post Erode District 638316","tier:2, district:Erode, college_type:GOVT"
"Rajalakshmi Institute of Technology (Autonomous), Bangalore Highway Road, Kuthambakkam, Chennai-600124.","tier:2, district:Chennai, college_type:AUTONOMOUS"
"R.M.K. Engineering College (Autonomous), R.S.M. Nagar, Kavaraipettai, Gummidipoondi Taluk, Thiruvallur-601206.","tier:2, district:Thiruvallur, college_type:AUTONOMOUS"
"Bannari Amman Institute of Technology (Autonomous), Sathy-Bhavani Road, (State Highway), Alathukombai Post, Sathyamangalam (Taluk), Erode District-638401.","tier:2, district:Erode, college_type:AUTONOMOUS"
"Government College of Engineering (Autonomous) Bargur Krishnagiri District 635104","tier:2, district:Krishnagiri, college_type:AUTONOMOUS"
"School of Architecture and Planning Anna University Chennai 600025","tier:1, district:Chennai, college_type:SF"
"RVS College of Engineering and Technology (Autonomous), Kumaran Kottam Campus, Kannampalayam Post, Coimbatore-641402.","tier:2, district:Coimbatore, college_type:AUTONOMOUS"
"Mepco Schlenk Engineering College (Autonomous), Sivakasi,Mepco Engineering College Post,Virudhunagar District-626005.","tier:3, district:Virudhunagar, college_type:AUTONOMOUS"
"Velammal College of Engineering and Technology (Autonomous), Velammal Nagar, Viraganoor, Madurai -625009.","tier:4, district:Madurai, college_type:AUTONOMOUS"
"Sri Sai Ram Engineering College (Autonomous), Sai Leo Nagar, Poonthandalam Village, Dharkast Post, West Tambram, Kanchipuram, Chennai-600044.","tier:2, district:Chennai, college_type:AUTONOMOUS"
"St. Joseph's College of Engineering (Autonomous), Jeppiaar Nagar, Old Mamallapuram Road, Kanchipuram, Chennai-600119.","tier:2, district:Chennai, college_type:AUTONOMOUS"
"Government College of Engineering Srirangam Sethurappatti Tiruchirappalli District 620012","tier:3, district:Kanchipuram, college_type:GOVT"
"Kongu Engineering College (Autonomous), Perundurai Railway Station Road,Thoppupalayam,Perundurai, Erode-638052.","tier:1, district:Erode, college_type:AUTONOMOUS"
"Sri Krishna College of Technology (Autonomous), Kovaipudur Post, Coimbatore-641042.","tier:2, district:Coimbatore, college_type:AUTONOMOUS"
"Saveetha Engineering College (Autonomous), Saveetha Nagar, Thandalam Post, Sriperumbudur Taluk, Kancheepuram District-602105.","tier:2, district:Thiruvallur, college_type:AUTONOMOUS"
"University College of Engineering Tiruchirappalli (Bharathidasan Institute of Technology) Tiruchirappalli District 620024","tier:3, district:Kanchipuram, college_type:SF"
"Thanthai Periyar Government Institute of Technology Bagayam Vellore District 632002","tier:2, district:Vellore, college_type:GOVT"
"Sri Ramakrishna Engineering College (Autonomous), Vattamalaipalayam, NGGO Colony Post, Coimbatore-641022.","tier:2, district:Coimbatore, college_type:AUTONOMOUS"
"Karpagam Institute of Technology (Autonomous), S.F. NO. 247,248, L&T Bypass Road, Seerapalayam Village, Bodipalayam Post, Coimbatore-641105.","tier:2, district:Coimbatore, college_type:AUTONOMOUS"
"National Engineering College (Autonomous), K.R. Nagar, Nalattinputhur, Kovilpatti, Tuticorin District-628503.","tier:3, district:Unknown, college_type:AUTONOMOUS"
"Easwari Engineering College (Autonomous), Bharathi Salai, Ramapuram, Chennai-600089.","tier:2, district:Chennai, college_type:AUTONOMOUS"
"Dr Mahalingam College of Engineering and Technology (Autonomous), Mackkinaickenpatti Post, Udumalai Road, Pollachi, Coimbatore-642003.","tier:2, district:Coimbatore, college_type:AUTONOMOUS"
"Hindusthan College of Engineering and Technology(Autonomous), Othakkalmandapam Village, Coimbatore South Taluk, Coimbatore District-641032.","tier:2, district:Coimbatore, college_type:AUTONOMOUS"
"Anna University Regional Campus - Tirunelveli Trivandrum Road Palayamkottai Tirunelveli District 627007","tier:3, district:Tirunelveli, college_type:SF"
"SRM Valliammai Engineering College (Autonomous), S.R.M. Nagar, Kattankulathur, Chengalpattu, Kancheepuram, Chennai-603203.","tier:2, district:Chennai, college_type:AUTONOMOUS"
"PSNA College of Engineering and Technology (Autonomous), Kothandaraman Nagar, Muthanampatti (PO), Dindigul-624622.","tier:4, district:Dindigul, college_type:AUTONOMOUS"
"Saranathan College of Engineering (Autonomous), Venkateswara Nagar, Edamalaipattipudur Post, Panjappur Village, Srirangam Taluk, Tiruchirappalli-620012.","tier:3, district:Kanchipuram, college_type:AUTONOMOUS"
"University College of Engineering Villupuram Kakuppam Villupuram District 605103","tier:2, district:Thiruvallur, college_type:SF"
"KGISL Institute of Technology, 365, KGISL Campus, Thudiyalur Road, Saravanampatti, Coimbatore-641035.","tier:2, district:Coimbatore, college_type:SF"
"Sona College of Technology (Autonomous), Sona Nagar, Thiagarajar Polytechnic College Road, Suramangalam (P.O),Salem District-636005.","tier:2, district:Salem, college_type:AUTONOMOUS"
"R.M.D. Engineering College (Autonomous), R.S.M. Nagar, Gummidipoondi Taluk, Kavaraipettai, Thiruvallur-601206.","tier:2, district:Thiruvallur, college_type:AUTONOMOUS"
